PURCH_HDR_ID|PURCH_DTL_ID|PURCH_DT|GTIN_CD|ARTICLE_NBR|MC_CD|EXTENDED_PRC_AMT|EXTENDED_UNIT_PRC_AMT|SALES_QTY|SALES_UOM|QTY_IN_UNITS|NORMAL_PRC_AMT|NORMAL_UNIT_PRC_AMT|REDUCTION_AMT|SCANNED_VS_KEYED_IND|DISCOUNT_TYPE_CD|DISCOUNT_PURCH_DTL_ID|VOIDED_FLAG|VOIDED_PURCH_DTL_ID|RSN_CD|SALES_CTGRY_CD|RETURN_IND|REBATE_IND|OFFER_ID
0000000001|40|2019-03-06|10000000000001|111111|302060147|10.00|10.00|1.00|EA|1|10.00|10.00||S||||||03|N|N|
0000000001|50|2019-03-06|10000000000002|222222|101020017|5.00|5.0|1.00|CS|1|5.00|5.00||S||||||03|N|N|
0000000002|40|2019-03-06|10000000000003|333333|201060072|10.00|10.00|1.00|EA|1|10.00|10.00||S||||||03|N|N|
0000000002|50|2019-03-06|10000000000004|444444|102020030|5.00|5.00|1.00|EA|1|5.00|5.00||S||||||03|N|N|
0000000003|40|2019-03-06|10000000000004|444444|201010046|10.00|10.00|1.00|EA|1|10.00|10.00||S||||||03|N|N|
0000000003|50|2019-03-06|10000000000001|111111|102020032|2.00|2.00|1.00|EA|1|5.00|5.00||S||||||03|N|N|
0000000003|60|2019-03-06|90000000000001|999991|102020032|0.00|0.00|1.00|EA|1|0.00|0.00|3.00|S|ZPAP|||||03|N|N|1000
0000000004|40|2019-03-06|10000000000004|444444|201010046|10.00|10.00|1.00|EA|1|10.00|10.00||S||||||03|N|N|
0000000004|50|2019-03-06|10000000000001|111111|102020032|2.00|2.00|1.00|EA|1|5.00|5.00||S||||||03|N|N|
0000000004|60|2019-03-06|90000000000001|999991|102020032|0.00|0.00|1.00|EA|1|0.00|0.00|3.00|S|ZPAP|||||03|N|N|1000
0000000005|40|2019-03-06|10000000000004|444444|201010046|7.00|7.00|1.00|EA|1|10.00|10.00||S||||||03|N|N|
0000000005|50|2019-03-06|10000000000001|111111|102020032|2.00|2.00|1.00|EA|1|5.00|5.00||S||||||03|N|N|
0000000005|60|2019-03-06|90000000000001|999991|102020032|0.00|0.00|1.00|EA|1|0.00|0.00|3.00|S|ZPAP|||||03|N|N|1000
0000000005|70|2019-03-06|90000000000001|999991|102020032|0.00|0.00|1.00|EA|1|0.00|0.00|3.00|S|ZCLP|||||03|N|N|1000
0000000006|10|2019-03-06|10000000000001|111111|102020032|100.00|10.00|10.00|EA|10|0.00|0.00|3.00|S||||||03|N|N|
0000000006|20|2019-03-06|10000000000002|222222|102020032|10.00|10.00|1.00|EA|1|0.00|0.00|3.00|S||||||03|N|N|
0000000006|30|2019-03-06|10000000000003|333333|102020032|10.00|10.00|1.00|EA|1|0.00|0.00|3.00|S||||||03|N|N|
0000000006|40|2019-03-06|10000000000004|444444|102020032|10.00|10.00|1.00|EA|1|0.00|0.00|3.00|S||||||03|N|N|
0000000006|50|2019-03-06|10000000000002|222222|102020032|10.00|10.00|1.00|EA|1|0.00|0.00|3.00|S||||||03|N|N|
0000000006|60|2019-03-06|90000000000001|999991|102020032|0.00|0.00|1.00|EA|1|0.00|0.00|3.00|S|ZCLP|||||03|N|N|1000
0000000007|70|2019-03-06|10000000000001|111111|102020032|0.00|0.00|1.00|EA|1|0.00|0.00|0.00|S|ZCLP|||||03|N|N|1000
