PURCH_HDR_ID,PURCH_DTL_ID,GTIN_CD,ARTICLE_NBR,MC_CD,EXTENDED_PRC_AMT,EXTENDED_UNIT_PRC_AMT,SALES_QTY,SALES_UOM,QTY_IN_UNITS,NORMAL_PRC_AMT,NORMAL_UNIT_PRC_AMT,REDUCTION_AMT,SCANNED_VS_KEYED_IND,DISCOUNT_TYPE_CD,DISCOUNT_PURCH_DTL_ID,VOIDED_FLAG,VOIDED_PURCH_DTL_ID,RSN_CD,SALES_CTGRY_CD,RETURN_IND,REBATE_IND,VECTOR_OFFER_ID,PURCH_DT,MBRSHP_SID,SITE_NBR,FISCAL_WEEK_START,ARTICLE_DESC,MCH4_CD,MCH4_DESC,MCH3_CD,MCH3_DESC,MCH2_CD,MCH2_DESC,MCH1_CD,MCH1_DESC,MC_DESC,AH1_CD,AH1_DESC,AH2_CD,AH2_DESC,AH3_CD,AH3_DESC,AH4_CD,AH4_DESC,AH5_CD,AH5_DESC,AH6_CD,AH6_DESC,BRAND_TYPE,EFF_DT,EXP_DT,FISCAL_WEEK_END
1,50,10000000000002,222222,101020017,5.0,5.0,1.0,CS,1,5.0,5.0,,S,,,,,,03,N,N,,2019-03-06,100001,34,2019-03-03,ADAM'S CRAFT BEER,000000000,BJ'S WHOLESALE CLUB,200000000,PERISHABLES,201000000,FRESH,201040000,FRESH SEAFOOD,FROZEN SHELLFISH,1,MERCHANDISE,10,FOOD,119,SEAFOOD,201040064,FROZEN SHELLFISH,910840,FROZEN SHRIMP,922111,FROZEN SHRIMP,,2018-11-07,2999-12-31,2019-03-09
3,50,10000000000001,111111,102020032,2.0,2.0,1.0,EA,1,5.0,5.0,,S,,,,,,03,N,N,,2019-03-06,100003,18,2019-03-03,ADAM'S ORGANIC APPLES,000000000,BJ'S WHOLESALE CLUB,200000000,PERISHABLES,201000000,FRESH,201080000,PREPACK MEAT CHEESE,HOT DOGS,1,MERCHANDISE,10,FOOD,126,PREPACK MEAT CHEESE,201080081,HOT DOGS,910281,BEEF HOT DOGS,920531,BEEF HOT DOGS,2,2016-08-31,2999-12-31,2019-03-09
3,40,10000000000004,444444,201010046,10.0,10.0,1.0,EA,1,10.0,10.0,,S,,,,,,03,N,N,,2019-03-06,100003,18,2019-03-03,ADAM'S ORGANIC BANANAS,000000000,BJ'S WHOLESALE CLUB,300000000,SUNDRIES,302000000,PERSONAL CARE,302020000,BEAUTY CARE,SANITIZERS,1,MERCHANDISE,30,SUNDRIES & BEVERAGES,140,BEAUTY CARE,302060153,SANITIZERS,910473,SANITIZERS,920953,HAND SANITIZERS,2,2016-08-31,2999-12-31,2019-03-09
4,50,10000000000001,111111,102020032,2.0,2.0,1.0,EA,1,5.0,5.0,,S,,,,,,03,N,N,,2019-03-06,100004,34,2019-03-03,ADAM'S ORGANIC APPLES,000000000,BJ'S WHOLESALE CLUB,200000000,PERISHABLES,201000000,FRESH,201080000,PREPACK MEAT CHEESE,HOT DOGS,1,MERCHANDISE,10,FOOD,126,PREPACK MEAT CHEESE,201080081,HOT DOGS,910281,BEEF HOT DOGS,920531,BEEF HOT DOGS,2,2016-08-31,2999-12-31,2019-03-09
2,50,10000000000004,444444,102020030,5.0,5.0,1.0,EA,1,5.0,5.0,,S,,,,,,03,N,N,,2019-03-06,100002,18,2019-03-03,ADAM'S ORGANIC BANANAS,000000000,BJ'S WHOLESALE CLUB,300000000,SUNDRIES,302000000,PERSONAL CARE,302020000,BEAUTY CARE,SANITIZERS,1,MERCHANDISE,30,SUNDRIES & BEVERAGES,140,BEAUTY CARE,302060153,SANITIZERS,910473,SANITIZERS,920953,HAND SANITIZERS,2,2016-08-31,2999-12-31,2019-03-09
1,40,10000000000001,111111,302060147,10.0,10.0,1.0,EA,1,10.0,10.0,,S,,,,,,03,N,N,,2019-03-06,100001,34,2019-03-03,ADAM'S ORGANIC APPLES,000000000,BJ'S WHOLESALE CLUB,200000000,PERISHABLES,201000000,FRESH,201080000,PREPACK MEAT CHEESE,HOT DOGS,1,MERCHANDISE,10,FOOD,126,PREPACK MEAT CHEESE,201080081,HOT DOGS,910281,BEEF HOT DOGS,920531,BEEF HOT DOGS,2,2016-08-31,2999-12-31,2019-03-09
3,60,10000000000001,111111,102020032,0.0,0.0,1.0,EA,1,0.0,0.0,3.0,S,ZPAP,,,,,04,N,N,1000,2019-03-06,100003,18,2019-03-03,ADAM'S ORGANIC APPLES,000000000,BJ'S WHOLESALE CLUB,200000000,PERISHABLES,201000000,FRESH,201080000,PREPACK MEAT CHEESE,HOT DOGS,1,MERCHANDISE,10,FOOD,126,PREPACK MEAT CHEESE,201080081,HOT DOGS,910281,BEEF HOT DOGS,920531,BEEF HOT DOGS,2,2016-08-31,2999-12-31,2019-03-09
4,60,10000000000001,111111,102020032,0.0,0.0,1.0,EA,1,0.0,0.0,3.0,S,ZPAP,,,,,04,N,N,1000,2019-03-06,100004,34,2019-03-03,ADAM'S ORGANIC APPLES,000000000,BJ'S WHOLESALE CLUB,200000000,PERISHABLES,201000000,FRESH,201080000,PREPACK MEAT CHEESE,HOT DOGS,1,MERCHANDISE,10,FOOD,126,PREPACK MEAT CHEESE,201080081,HOT DOGS,910281,BEEF HOT DOGS,920531,BEEF HOT DOGS,2,2016-08-31,2999-12-31,2019-03-09
4,40,10000000000004,444444,201010046,10.0,10.0,1.0,EA,1,10.0,10.0,,S,,,,,,03,N,N,,2019-03-06,100004,34,2019-03-03,ADAM'S ORGANIC BANANAS,000000000,BJ'S WHOLESALE CLUB,300000000,SUNDRIES,302000000,PERSONAL CARE,302020000,BEAUTY CARE,SANITIZERS,1,MERCHANDISE,30,SUNDRIES & BEVERAGES,140,BEAUTY CARE,302060153,SANITIZERS,910473,SANITIZERS,920953,HAND SANITIZERS,2,2016-08-31,2999-12-31,2019-03-09
2,40,10000000000003,333333,201060072,10.0,10.0,1.0,EA,1,10.0,10.0,,S,,,,,,03,N,N,,2019-03-06,100002,18,2019-03-03,ADAM'S ORGANIC ORANGES,000000000,BJ'S WHOLESALE CLUB,200000000,PERISHABLES,201000000,FRESH,201050000,FRESH MEAT,SMOKED MEATS,1,MERCHANDISE,10,FOOD,126,PREPACK MEAT CHEESE,201080246,SMOKED MEATS,910816,HAM,922055,SPECIALTY,2,2016-08-31,2999-12-31,2019-03-09
